latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,stateName,countyName,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,hwm_label,files
40.365423,-74.942547,40.365423,-74.942547,2021 Tropical Cyclone Ida,Debris,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Jerilyn Collenburg,Jerilyn Collenburg,NJHUN31721,"South Main Street in Lambertville, NJ",NJ,Hunterdon County,No,40.365568,-74.942418,41552,Swan Creek,31721,312,2,3,Debris line on corner of house foundation,9/24/2021 4:00,72.4,2,2,N/A,23996,7,2.1,3,,Riverine,9/13/2021 4:00,0,2,893,893,HWM 1,System.Collections.Generic.HashSet`1[STNDB.file]
40.365379,-74.942611,40.365379,-74.942611,2021 Tropical Cyclone Ida,Mud,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Marker,Phone/Car GPS,NAD83,Jerilyn Collenburg,Jerilyn Collenburg,NJHUN31721,"South Main Street in Lambertville, NJ",NJ,Hunterdon County,No,40.365568,-74.942418,41554,Swan Creek,31721,312,1,2,Mud line on screen door on South Main Street,9/24/2021 4:00,72.5,2,2,N/A,23997,4,2,3,,Riverine,9/13/2021 4:00,0,2,893,893,HWM 2,System.Collections.Generic.HashSet`1[STNDB.file]
40.538,-74.584385,40.538,-74.584385,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Not marked,Phone/Car GPS,NAD83,Jaclynne Polcino,Jaclynne Polcino,NJSOM31742,"Huff Avenue in Manville, NJ",NJ,Somerset County,No,40.538383,-74.584264,41555,Royce Brook,31742,312,5,3,"Seed line on Huff Avenue, west side of house, concrete foundation, confirmed by owner",9/19/2021 4:00,44.6,2,2,N/A,24028,8,0.7,3,,Riverine,9/15/2021 4:00,0,2,2045,2045,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.365527,-74.942705,40.365527,-74.942705,2021 Tropical Cyclone Ida,Mud,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Marker,Phone/Car GPS,NAD83,Jerilyn Collenburg,Jerilyn Collenburg,NJHUN31721,"South Main Street in Lambertville, NJ",NJ,Hunterdon County,No,40.365568,-74.942418,41556,Swan Creek,31721,312,1,3,"Mud line on top of step at South Main Street, confirmed with owner",9/24/2021 4:00,72.1,2,2,N/A,23998,4,1.8,3,,Riverine,9/13/2021 4:00,0,2,893,893,HWM 3,System.Collections.Generic.HashSet`1[STNDB.file]
40.542482,-74.5787127,40.542482,-74.5787127,2021 Tropical Cyclone Ida,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Not marked,Phone/Car GPS,NAD83,Jaclynne Polcino,Jaclynne Polcino,NJSOM31754,"Boesel Avenue and Pulaski Street in Manville, NJ",NJ,Somerset County,No,40.5421595,-74.5787999,41557,Millstone River,31754,312,5,2,Seed line on left side of right garage door jamb,9/20/2021 4:00,44.2,2,2,N/A,24032,8,3.7,3,,Riverine,9/16/2021 4:00,0,2,2045,2045,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.5426209,-74.5779218,40.5426209,-74.5779218,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Not marked,Phone/Car GPS,NAD83,Jaclynne Polcino,Jaclynne Polcino,NJSOM31754,"Boesel Avenue and Pulaski Street in Manville, NJ",NJ,Somerset County,No,40.5421595,-74.5787999,41558,Millstone River,31754,312,5,3,Seed line on front glass door of house on Boesel Avenue. Confirmed by owner.,9/20/2021 4:00,44.6,2,2,N/A,24033,8,1.9,3,,Riverine,9/16/2021 4:00,0,2,2045,2045,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.5439983,-74.5750548,40.5439983,-74.5750548,2021 Tropical Cyclone Ida,Mud,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Not marked,Phone/Car GPS,NAD83,Jaclynne Polcino,Jaclynne Polcino,NJSOM31753,"Liberty Street in Manville, NJ",NJ,Somerset County,No,40.5435414,-74.5756613,41559,Millstone River,31753,312,1,2,Mud line on siding of house on Huff Avenue,9/19/2021 4:00,44.6,2,2,N/A,24029,8,2.2,3,,Riverine,9/16/2021 4:00,0,2,2045,2045,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.536543,-74.589907,40.536543,-74.589907,2021 Tropical Cyclone Ida,Mud,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Tape,Phone/Car GPS,NAD83,Jerilyn Collenburg,Jerilyn Collenburg,NJSOM31759,"429 South Main Street in Manville, NJ",NJ,Somerset County,No,40.536339,-74.589715,41560,Royce Brook,31759,312,1,3,Mud line on window of house on Main Street,9/20/2021 4:00,44.6,2,2,N/A,24017,2,7,3,,Riverine,9/17/2021 4:00,0,2,893,893,HWM 1,System.Collections.Generic.HashSet`1[STNDB.file]
40.5432976,-74.5759919,40.5432976,-74.5759919,2021 Tropical Cyclone Ida,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Not marked,Phone/Car GPS,NAD83,Jaclynne Polcino,Jaclynne Polcino,NJSOM31753,"Liberty Street in Manville, NJ",NJ,Somerset County,No,40.5435414,-74.5756613,41562,Millstone River,31753,312,5,2,"Seed line on east side of house on Boesel Avenue, on foundation and air conditioner. Confirmed by owner.",9/19/2021 4:00,44.4,2,2,N/A,24030,8,1.8,3,,Riverine,9/16/2021 4:00,0,2,2045,2045,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.536159,-74.590331,40.536159,-74.590331,2021 Tropical Cyclone Ida,Seed line,Poor: +/- 0.40 ft,NAVD88,Level Gun,Sally Carullo,Tape,Phone/Car GPS,NAD83,Jerilyn Collenburg,Jerilyn Collenburg,NJSOM31759,"429 South Main Street in Manville, NJ",NJ,Somerset County,No,40.536339,-74.589715,41563,Royce Brook,31759,312,5,4,Seed line on car wash building adjacent to South Main Street,9/20/2021 4:00,44.6,2,2,N/A,24018,2,7.2,3,,Riverine,9/17/2021 4:00,0,2,893,893,HWM 2,System.Collections.Generic.HashSet`1[STNDB.file]
40.5429445,-74.5761576,40.5429445,-74.5761576,2021 Tropical Cyclone Ida,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Not marked,Phone/Car GPS,NAD83,Jaclynne Polcino,Jaclynne Polcino,NJSOM31753,"Liberty Street in Manville, NJ",NJ,Somerset County,No,40.5435414,-74.5756613,41564,Millstone River,31753,312,5,2,Seed line on front of house siding on Boesel Avenue,9/19/2021 4:00,44.4,2,2,N/A,24031,8,2,3,,Riverine,9/16/2021 4:00,0,2,2045,2045,HWM3,System.Collections.Generic.HashSet`1[STNDB.file]
40.5714985,-74.6084614,40.5714985,-74.6084614,2021 Tropical Cyclone Ida,Mud,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31436,"Northwest corner of Grove and Cliff Street in Somerville, NJ",NJ,Somerset County,No,40.5711537,-74.6088936,41565,Peters Brook,31436,312,1,3,Mud line in lattice deck covering,9/15/2021 4:00,51,2,2,N/A,24012,7,0.3,3,,Riverine,9/9/2021 4:00,0,2,510,510,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.5721339,-74.6086887,40.5721339,-74.6086887,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31436,"Northwest corner of Grove and Cliff Street in Somerville, NJ",NJ,Somerset County,No,40.5711537,-74.6088936,41566,Peters Brook,31436,312,5,3,Seed line on foundation of house on NW corner of Grove St. and Summit St.,9/15/2021 4:00,51.6,2,2,N/A,24013,7,0.1,3,,Riverine,9/9/2021 4:00,0,2,510,510,HWM3,System.Collections.Generic.HashSet`1[STNDB.file]
40.5759824,-74.6043479,40.5759824,-74.6043479,2021 Tropical Cyclone Ida,Other (Note in Description box),VP: > 0.40 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31437,"Sycamore Street and Cadillac Street in Somerville, NJ",NJ,Somerset County,No,40.5763593,-74.6044854,41567,Ross Brook,31437,312,9,5,"Washline in yard, difficult to differentiate runoff from HWMs, conferred with property owner for maximum water elevation",9/15/2021 4:00,56.4,2,2,N/A,24014,7,0,3,,Riverine,9/9/2021 4:00,0,2,510,510,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.5750407,-74.6038222,40.5750407,-74.6038222,2021 Tropical Cyclone Ida,Debris,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31437,"Sycamore Street and Cadillac Street in Somerville, NJ",NJ,Somerset County,No,40.5763593,-74.6044854,41568,Ross Brook,31437,312,2,3,Debris line in left side of yard of  Demond Place,9/15/2021 4:00,56.5,2,2,N/A,24015,7,0,3,,Riverine,9/9/2021 4:00,0,2,510,510,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.5436428,-74.5811374,40.5436428,-74.5811374,2021 Tropical Cyclone Ida,Mud,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Jaclynne Polcino,Jaclynne Polcino,NJSOM31755,"East Camplain Road in Manville, NJ",NJ,Somerset County,No,40.5439542,-74.5812273,41569,Millstone River,31755,312,1,2,Mud line on vinyl fence between houses on East Camplain Road,9/20/2021 4:00,41,2,2,N/A,24035,7,0.7,3,,Riverine,9/16/2021 4:00,0,2,2045,2045,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.5748874,-74.6047935,40.5748874,-74.6047935,2021 Tropical Cyclone Ida,Debris,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31437,"Sycamore Street and Cadillac Street in Somerville, NJ",NJ,Somerset County,No,40.5763593,-74.6044854,41570,Ross Brook,31437,312,2,2,Debris line on yard at right edge of yard on Sycamore St.,9/15/2021 4:00,56.2,2,2,N/A,24016,7,0,3,,Riverine,9/9/2021 4:00,0,2,510,510,HWM3,System.Collections.Generic.HashSet`1[STNDB.file]
40.5437881,-74.5809339,40.5437881,-74.5809339,2021 Tropical Cyclone Ida,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Jaclynne Polcino,Jaclynne Polcino,NJSOM31755,"East Camplain Road in Manville, NJ",NJ,Somerset County,No,40.5439542,-74.5812273,41571,Millstone River,31755,312,5,2,Seed line on fence one house down from HWM1,9/20/2021 4:00,41,2,2,N/A,24034,7,1.2,3,,Riverine,9/16/2021 4:00,0,2,2045,2045,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.5500454,-74.5948264,40.5500454,-74.5948264,2021 Tropical Cyclone Ida,Mud,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Not marked,Phone/Car GPS,NAD83,Jaclynne Polcino,Jaclynne Polcino,NJSOM31756,"North 10th Avenue and St. John Street in Manville, NJ",NJ,Somerset County,No,40.5501807,-74.5949847,41572,Raritan River,31756,312,1,3,Mud line on garage door of condemned house on North 10th Avenue,9/20/2021 4:00,49,2,2,N/A,24036,8,0.4,3,,Riverine,9/16/2021 4:00,0,2,2045,2045,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.550022,-74.595333,40.550022,-74.595333,2021 Tropical Cyclone Ida,Mud,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Not marked,Phone/Car GPS,NAD83,Jaclynne Polcino,Jaclynne Polcino,NJSOM31756,"North 10th Avenue and St. John Street in Manville, NJ",NJ,Somerset County,No,40.5501807,-74.5949847,41573,Raritan River,31756,312,1,3,Mud line on white vinyl fence on house at North 10th Avenue at end of driveway. Across street from HWM1.,9/20/2021 4:00,49.6,2,2,N/A,24037,8,1.1,3,,Riverine,9/16/2021 4:00,0,2,2045,2045,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.551974,-74.609347,40.551974,-74.609347,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Tape,Phone/Car GPS,NAD83,Jerilyn Collenburg,Jerilyn Collenburg,NJSOM31760,"Kimberly Road in Hillsborough, NJ",NJ,Somerset County,No,40.551672,-74.609365,41574,Dukes Brook,31760,312,5,3,Seed line on front door of house on Kimberly Road,9/20/2021 4:00,51.5,2,2,N/A,24038,2,5,3,,Riverine,9/17/2021 4:00,0,2,893,893,HWM 1,System.Collections.Generic.HashSet`1[STNDB.file]
40.551451,-74.608948,40.551451,-74.608948,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Tape,Phone/Car GPS,NAD83,Jerilyn Collenburg,Jerilyn Collenburg,NJSOM31760,"Kimberly Road in Hillsborough, NJ",NJ,Somerset County,No,40.551672,-74.609365,41575,Dukes Brook,31760,312,5,3,Seed line on house siding,9/20/2021 4:00,51.5,2,2,N/A,24039,2,6,3,,Riverine,9/17/2021 4:00,0,2,893,893,HWM 2,System.Collections.Generic.HashSet`1[STNDB.file]
