cell_id,centroid_x,centroid_y,elevation_m,rainfall_inches,dist_to_flood_zone_m,in_fema_flood_zone,flooded
844,581899.4956661405,4509656.44322983,2.890740156173706,18.830000000000002,0.0,1,1
845,581899.4956661405,4509706.44322983,1.6723839044570923,18.830000000000002,0.0,1,1
846,581899.4956661405,4509756.44322983,1.7227271795272827,18.830000000000002,0.0,1,1
847,581899.4956661405,4509806.44322983,1.6871178150177002,18.830000000000002,0.0,1,1
848,581899.4956661405,4509856.44322983,3.5478529930114746,18.830000000000002,23.456259599846653,0,0
849,581899.4956661405,4509906.44322983,3.5893783569335938,18.830000000000002,57.77563311103405,0,0
850,581899.4956661405,4509956.44322983,4.0618414878845215,18.830000000000002,85.12565585045498,0,0
851,581899.4956661405,4510006.44322983,4.68007230758667,18.830000000000002,95.10831713363596,0,0
852,581899.4956661405,4510056.44322983,6.385739326477051,18.830000000000002,106.14992281056807,0,0
853,581899.4956661405,4510106.44322983,7.092339038848877,18.830000000000002,114.48920268512977,0,0
854,581899.4956661405,4510156.44322983,7.534328937530518,18.830000000000002,127.25475466358702,0,0
855,581899.4956661405,4510206.44322983,7.812633991241455,18.830000000000002,117.39398690308867,0,0
856,581899.4956661405,4510256.44322983,7.634832859039307,18.830000000000002,125.92444768498,0,0
857,581899.4956661405,4510306.44322983,7.479959011077881,18.830000000000002,122.2454049514471,0,0
858,581899.4956661405,4510356.44322983,6.79115629196167,18.830000000000002,132.9871507371642,0,0
859,581899.4956661405,4510406.44322983,7.2036309242248535,18.830000000000002,128.4621498000158,0,0
860,581899.4956661405,4510456.44322983,6.745501518249512,18.830000000000002,115.24088139772964,0,0
861,581899.4956661405,4510506.44322983,6.045810699462891,18.830000000000002,105.64095052843578,0,0
862,581899.4956661405,4510556.44322983,5.066437721252441,18.830000000000002,104.16954501712276,0,0
863,581899.4956661405,4510606.44322983,4.241923809051514,18.830000000000002,101.91308367752774,0,0
864,581899.4956661405,4510656.44322983,4.0200514793396,18.830000000000002,95.31766348174035,0,0
865,581899.4956661405,4510706.44322983,3.564195394515991,18.830000000000002,83.08813677786247,0,0
866,581899.4956661405,4510756.44322983,3.098210334777832,18.830000000000002,71.6216435631314,0,0
