cell_id,centroid_x,centroid_y,elevation_m,rainfall_inches,dist_to_flood_zone_m,in_fema_flood_zone,flooded
7044,578111.9593753648,4508541.033723386,22.68600082397461,18.830000000000002,632.7724164542218,0,0
7045,578111.9593753648,4508591.033723386,20.932945251464844,18.830000000000002,620.5692929384377,0,0
7046,578111.9593753648,4508641.033723386,20.008045196533203,18.830000000000002,612.1843373285129,0,0
7047,578111.9593753648,4508691.033723386,18.036291122436523,18.830000000000002,606.4046698860844,0,0
7048,578111.9593753648,4508741.033723386,15.956253051757812,18.830000000000002,604.7177725591927,0,0
7049,578111.9593753648,4508791.033723386,13.94401741027832,18.830000000000002,582.5010390831985,0,0
7050,578111.9593753648,4508841.033723386,13.434137344360352,18.830000000000002,534.5175189892943,0,0
7051,578111.9593753648,4508891.033723386,13.05300521850586,18.830000000000002,486.9399302582766,0,0
7052,578111.9593753648,4508941.033723386,12.001893043518066,18.830000000000002,439.8701923669328,0,0
7053,578111.9593753648,4508991.033723386,11.049504280090332,18.830000000000002,393.52282355116375,0,0
7054,578111.9593753648,4509041.033723386,10.115421295166016,18.830000000000002,348.1876493766518,0,0
7055,578111.9593753648,4509091.033723386,9.46076774597168,18.830000000000002,304.3173766008048,0,0
7056,578111.9593753648,4509141.033723386,10.182891845703125,18.830000000000002,262.6470868369834,0,0
7057,578111.9593753648,4509191.033723386,9.669855117797852,18.830000000000002,224.40570123486563,0,0
7058,578111.9593753648,4509241.033723386,8.867142677307129,18.830000000000002,191.58898001054732,0,0
7059,578111.9593753648,4509291.033723386,9.426665306091309,18.830000000000002,167.22032784180774,0,0
7060,578111.9593753648,4509341.033723386,10.389863014221191,18.830000000000002,147.220455461556,0,0
7061,578111.9593753648,4509391.033723386,10.500994682312012,18.830000000000002,124.40053059332533,0,0
7062,578111.9593753648,4509441.033723386,9.523653984069824,18.830000000000002,93.47443157635215,0,0
7063,578111.9593753648,4509491.033723386,6.39542293548584,18.830000000000002,73.21262318300492,0,0
7064,578111.9593753648,4509541.033723386,6.352036476135254,18.830000000000002,82.92249113339592,0,0
7065,578111.9593753648,4509591.033723386,6.2918267250061035,18.830000000000002,114.35898720371972,0,0
7066,578111.9593753648,4509641.033723386,6.8236188888549805,18.830000000000002,154.17929340826197,0,0
